title,vote_average,budget,revenue,runtime,genres,release_date,production_companies,vote_count,popularity,original_language,release_year,action,animation,comedy,crime,drama,family,fantasy,history,mystery,romance,scifi,thriller,war
Beauty and the Beast,6.8,160000000,1262886337.0,129.0,"Family,Fantasy,Romance",2017-03-16,"Walt Disney Pictures,Mandeville Films",5530.0,287.253654,en,2017,0,0,0,0,0,1,1,0,0,1,0,0,0
The Fate of the Furious,6.8,250000000,1238764765.0,136.0,"Action,Crime,Thriller",2017-04-12,"Universal Pictures,Original Film,One Race Films",3803.0,48.573287,en,2017,1,0,0,1,0,0,0,0,0,0,0,1,0
Despicable Me 3,6.2,80000000,1020063384.0,96.0,"Action,Animation,Adventure,Family,Comedy",2017-06-15,Illumination Entertainment,2002.0,36.631519,en,2017,1,1,1,0,0,1,0,0,0,0,0,0,0
Guardians of the Galaxy Vol. 2,7.6,200000000,863416141.0,137.0,"Action,Adventure,Comedy,Science Fiction",2017-04-19,"Walt Disney Pictures,Marvel Studios",4858.0,185.33099199999998,en,2017,1,0,1,0,0,0,0,0,0,0,1,0,0
Wonder Woman,7.2,149000000,820580447.0,141.0,"Action,Adventure,Fantasy",2017-05-30,"Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,TENCENT PICTURES,Wanda Pictures",5025.0,294.337037,en,2017,1,0,0,0,0,0,1,0,0,0,0,0,0
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,230000000,794191988.0,129.0,"Adventure,Action,Fantasy,Comedy",2017-05-23,"Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Moving Picture Company (MPC)",2814.0,133.82782,en,2017,1,0,1,0,0,0,1,0,0,0,0,0,0
Logan,7.6,97000000,616801808.0,137.0,"Action,Drama,Science Fiction",2017-02-28,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,TSG Entertainment",6310.0,54.581997,en,2017,1,0,0,0,1,0,0,0,0,0,1,0,0
Transformers: The Last Knight,6.2,260000000,604942143.0,149.0,"Action,Science Fiction,Thriller,Adventure",2017-06-21,"Paramount Pictures,Di Bonaventura Pictures,Angry Films,Hasbro Studios",1440.0,39.186819,en,2017,1,0,0,0,0,0,0,0,0,0,1,1,0
Kong: Skull Island,6.2,185000000,566652812.0,118.0,"Action,Adventure,Fantasy",2017-03-08,"Legendary Pictures,Warner Bros.",3161.0,29.429112,en,2017,1,0,0,0,0,0,1,0,0,0,0,0,0
Dunkirk,7.5,100000000,519876949.0,107.0,"Action,Drama,History,Thriller,War",2017-07-19,"Canal+,Studio Canal,Warner Bros.,Syncopy,RatPac-Dune Entertainment,Kaap Holland Film",2712.0,30.938854,en,2017,1,0,0,0,1,0,0,1,0,0,0,1,1
The Boss Baby,6.1,125000000,498814908.0,97.0,"Animation,Comedy,Family",2017-03-23,"Twentieth Century Fox Film Corporation,DreamWorks Animation",2336.0,13.392824,en,2017,0,1,1,0,0,1,0,0,0,0,0,0,0
